age,infection,class
14.61135134069341,0.07016452050331168,Elderly
15.522285738553034,0.28392053646931004,Elderly
16.433220136412658,0.8776872474860227,Elderly
17.34415453427228,0.6989917420752363,Elderly
18.264290289686038,1.2324392951474294,Elderly
19.166023329991525,1.658066353393707,Elderly
20.07695772785115,0.7317902842076194,Elderly
20.916910224578853,0.651038011509371,Elderly
21.898826523570396,0.616429894638685,Elderly
22.72694870344278,0.3657283944316134,Elderly
23.6378831013024,0.3076712049100081,Elderly
24.79725415312374,0.046413852062642036,Elderly
25.708188550983362,0.3789232102319886,Elderly
26.683532451721945,0.278642610149177,Elderly
27.530057346702606,-0.07233949014070618,Elderly
28.440991744562233,0.8064352421640422,Elderly
29.38298072416707,0.11172819027447645,Elderly
30.262860540281473,0.07016452050331168,Elderly
